codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_elemento_despesa,nome_elemento_despesa,valor_total_fixado
048,201500,01,01  ,31900300,Pensoes do RPPS e do Militar,98000.0
048,201500,01,01  ,31900400,Contratacao por Tempo Determinado,1000.0
048,201500,01,01  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,2320000.0
048,201500,01,01  ,31901300,Obrigacoes Patronais,450000.0
048,201500,01,01  ,31909200,Despesas de Exercicios Anteriores,1000.0
048,201500,01,01  ,31909400,Indenizacoes e Restituicoes Trabalhistas,1000.0
048,201500,01,01  ,33901400,Diarias - Civil,10000.0
048,201500,01,01  ,33903000,Material de Consumo,20000.0
048,201500,01,01  ,33903300,Passagens e Despesas com Locomocao,5000.0
048,201500,01,01  ,33903500,Servicos de Consultoria,1000.0
048,201500,01,01  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,294000.0
048,201500,01,01  ,33903900,Outros Serv. de Terc. Pessoa Juridica,430000.0
048,201500,01,01  ,33909200,Despesas de Exercicios Anteriores,1000.0
048,201500,01,01  ,44905100,Obras e Instalacoes,30000.0
048,201500,01,01  ,44905200,Equipamentos e Material Permanente,10000.0
048,201500,01,01  ,46907100,Principal da Divida Contratual Resgatado,1000.0
048,201500,02,02  ,31900400,Contratacao por Tempo Determinado,30000.0
048,201500,02,02  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,645365.0
048,201500,02,02  ,31901300,Obrigacoes Patronais,100000.0
048,201500,02,02  ,31909200,Despesas de Exercicios Anteriores,10000.0
048,201500,02,02  ,33504100,Contribuicoes,30000.0
048,201500,02,02  ,33901400,Diarias - Civil,60000.0
048,201500,02,02  ,33903000,Material de Consumo,90000.0
048,201500,02,02  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,110000.0
048,201500,02,02  ,33903900,Outros Serv. de Terc. Pessoa Juridica,540000.0
048,201500,02,02  ,33909200,Despesas de Exercicios Anteriores,50000.0
048,201500,02,02  ,44905100,Obras e Instalacoes,50000.0
048,201500,02,02  ,44905200,Equipamentos e Material Permanente,59000.0
048,201500,04,04  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,660000.0
048,201500,04,04  ,31901300,Obrigacoes Patronais,30000.0
048,201500,04,04  ,31909100,Sentencas Judiciais,150000.0
048,201500,04,04  ,31909200,Despesas de Exercicios Anteriores,5000.0
048,201500,04,04  ,31909400,Indenizacoes e Restituicoes Trabalhistas,1000.0
048,201500,04,04  ,33901400,Diarias - Civil,11000.0
048,201500,04,04  ,33903000,Material de Consumo,15000.0
048,201500,04,04  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,70000.0
048,201500,04,04  ,33903900,Outros Serv. de Terc. Pessoa Juridica,35000.0
048,201500,04,04  ,33909100,Sentencas Judiciais,5000.0
048,201500,04,04  ,33909200,Despesas de Exercicios Anteriores,5000.0
048,201500,04,04  ,44905200,Equipamentos e Material Permanente,7000.0
048,201500,06,06  ,31900100,"Aposentad. RPPS, Reserva Remun. e Reform",53000.0
048,201500,06,06  ,31900300,Pensoes do RPPS e do Militar,43000.0
048,201500,06,06  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,2400000.0
048,201500,06,06  ,31901300,Obrigacoes Patronais,216000.0
048,201500,06,06  ,31909200,Despesas de Exercicios Anteriores,7000.0
048,201500,06,06  ,31909400,Indenizacoes e Restituicoes Trabalhistas,5000.0
048,201500,06,06  ,31909600,Ressarcimento de Desp. de Pessoal Requis,90000.0
048,201500,06,06  ,32902100,Juros sobre a Divida por Contrato,20000.0
048,201500,06,06  ,33901400,Diarias - Civil,25000.0
048,201500,06,06  ,33903000,Material de Consumo,140000.0
048,201500,06,06  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,140000.0
048,201500,06,06  ,33903900,Outros Serv. de Terc. Pessoa Juridica,1055000.0
048,201500,06,06  ,33904700,Obrigacoes Tributarias e Contributivas,1000000.0
048,201500,06,06  ,33909200,Despesas de Exercicios Anteriores,53000.0
048,201500,06,06  ,44905100,Obras e Instalacoes,50000.0
048,201500,06,06  ,44905200,Equipamentos e Material Permanente,80000.0
048,201500,06,06  ,46907100,Principal da Divida Contratual Resgatado,500000.0
048,201500,06,06  ,99999900,Reserva de Contingencia,1275000.0
048,201500,07,07  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,96182.0
048,201500,07,07  ,31901300,Obrigacoes Patronais,7392.0
048,201500,07,07  ,33901400,Diarias - Civil,31000.0
048,201500,07,07  ,33903000,Material de Consumo,817610.0
048,201500,07,07  ,33903200,"Material, Bem ou Serv. p/ Dist. Gratuita",235000.0
048,201500,07,07  ,33903500,Servicos de Consultoria,5000.0
048,201500,07,07  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,894274.0
048,201500,07,07  ,33903900,Outros Serv. de Terc. Pessoa Juridica,245540.0
048,201500,07,07  ,33909200,Despesas de Exercicios Anteriores,100000.0
048,201500,07,07  ,44905100,Obras e Instalacoes,877900.0
048,201500,07,07  ,44905200,Equipamentos e Material Permanente,350650.0
048,201500,08,08  ,31900400,Contratacao por Tempo Determinado,290000.0
048,201500,08,08  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,2000000.0
048,201500,08,08  ,31901300,Obrigacoes Patronais,260000.0
048,201500,08,08  ,31909200,Despesas de Exercicios Anteriores,100000.0
048,201500,08,08  ,33901400,Diarias - Civil,10000.0
048,201500,08,08  ,33903000,Material de Consumo,3314490.0
048,201500,08,08  ,33903100,Premiacoes Cult.Art.Cient.Desp.e Outras,20000.0
048,201500,08,08  ,33903200,"Material, Bem ou Serv. p/ Dist. Gratuita",39000.0
048,201500,08,08  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,800000.0
048,201500,08,08  ,33903900,Outros Serv. de Terc. Pessoa Juridica,3700000.0
048,201500,08,08  ,33909100,Sentencas Judiciais,50000.0
048,201500,08,08  ,33909200,Despesas de Exercicios Anteriores,50000.0
048,201500,08,08  ,44905100,Obras e Instalacoes,900000.0
048,201500,08,08  ,44905200,Equipamentos e Material Permanente,575000.0
048,201500,08,08  ,44906100,Aquisicao de Imoveis,100000.0
048,201500,09,09  ,31900400,Contratacao por Tempo Determinado,6441726.14
048,201500,09,09  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,8741199.63
048,201500,09,09  ,31901300,Obrigacoes Patronais,752035.0
048,201500,09,09  ,31909200,Despesas de Exercicios Anteriores,5000.0
048,201500,09,09  ,31909600,Ressarcimento de Desp. de Pessoal Requis,5000.0
048,201500,09,09  ,33717000,Rateio p/ Particip. em Consorcio Publico,780000.0
048,201500,09,09  ,33901400,Diarias - Civil,100000.0
048,201500,09,09  ,33903000,Material de Consumo,286120.08
048,201500,09,09  ,33903200,"Material, Bem ou Serv. p/ Dist. Gratuita",5000.0
048,201500,09,09  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,86330.5
048,201500,09,09  ,33903900,Outros Serv. de Terc. Pessoa Juridica,20250181.0
048,201500,09,09  ,33909200,Despesas de Exercicios Anteriores,10000.0
048,201500,09,09  ,44905100,Obras e Instalacoes,5287458.73
048,201500,09,09  ,44905200,Equipamentos e Material Permanente,1055000.0
048,201500,10,10  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,2310000.0
048,201500,10,10  ,31901300,Obrigacoes Patronais,260000.0
048,201500,10,10  ,31909200,Despesas de Exercicios Anteriores,25000.0
048,201500,10,10  ,31909600,Ressarcimento de Desp. de Pessoal Requis,20000.0
048,201500,10,10  ,33901400,Diarias - Civil,20000.0
048,201500,10,10  ,33901900,Auxilio Fardamento,36000.0
048,201500,10,10  ,33903000,Material de Consumo,400000.0
048,201500,10,10  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,378000.0
048,201500,10,10  ,33903900,Outros Serv. de Terc. Pessoa Juridica,3904000.0
048,201500,10,10  ,33909200,Despesas de Exercicios Anteriores,55000.0
048,201500,10,10  ,44905100,Obras e Instalacoes,9145057.0
048,201500,10,10  ,44905200,Equipamentos e Material Permanente,127400.0
048,201500,11,11  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,270000.0
048,201500,11,11  ,31901300,Obrigacoes Patronais,10000.0
048,201500,11,11  ,31909200,Despesas de Exercicios Anteriores,1000.0
048,201500,11,11  ,33901400,Diarias - Civil,2000.0
048,201500,11,11  ,33903000,Material de Consumo,60000.0
048,201500,11,11  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,150000.0
048,201500,11,11  ,33903900,Outros Serv. de Terc. Pessoa Juridica,250000.0
048,201500,11,11  ,33909200,Despesas de Exercicios Anteriores,3000.0
048,201500,11,11  ,44905100,Obras e Instalacoes,150000.0
048,201500,11,11  ,44905200,Equipamentos e Material Permanente,120000.0
048,201500,15,15  ,31900400,Contratacao por Tempo Determinado,7150000.0
048,201500,15,15  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,17316000.0
048,201500,15,15  ,31901300,Obrigacoes Patronais,4300000.0
048,201500,15,15  ,31909200,Despesas de Exercicios Anteriores,1000000.0
048,201500,15,15  ,31909400,Indenizacoes e Restituicoes Trabalhistas,100000.0
048,201500,15,15  ,33901400,Diarias - Civil,10000.0
048,201500,15,15  ,33903000,Material de Consumo,800000.0
048,201500,15,15  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,100000.0
048,201500,15,15  ,33903900,Outros Serv. de Terc. Pessoa Juridica,4254000.0
048,201500,15,15  ,33909200,Despesas de Exercicios Anteriores,1000000.0
048,201500,15,15  ,44905100,Obras e Instalacoes,260000.0
048,201500,15,15  ,44905200,Equipamentos e Material Permanente,70000.0
048,201500,16,16  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,200000.0
048,201500,16,16  ,31901300,Obrigacoes Patronais,10000.0
048,201500,16,16  ,33901400,Diarias - Civil,1000.0
048,201500,16,16  ,33903000,Material de Consumo,5000.0
048,201500,16,16  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,20000.0
048,201500,16,16  ,33903900,Outros Serv. de Terc. Pessoa Juridica,200000.0
048,201500,16,16  ,33909200,Despesas de Exercicios Anteriores,5000.0
048,201500,16,16  ,44905200,Equipamentos e Material Permanente,5000.0
048,201500,17,17  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,400000.0
048,201500,17,17  ,31901300,Obrigacoes Patronais,40000.0
048,201500,17,17  ,33504100,Contribuicoes,200000.0
048,201500,17,17  ,33901400,Diarias - Civil,6000.0
048,201500,17,17  ,33903000,Material de Consumo,115000.0
048,201500,17,17  ,33903100,Premiacoes Cult.Art.Cient.Desp.e Outras,65000.0
048,201500,17,17  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,159000.0
048,201500,17,17  ,33903900,Outros Serv. de Terc. Pessoa Juridica,605000.0
048,201500,17,17  ,33909200,Despesas de Exercicios Anteriores,21000.0
048,201500,17,17  ,44905100,Obras e Instalacoes,1447000.0
048,201500,17,17  ,44905200,Equipamentos e Material Permanente,241000.0
048,201500,20,20  ,31901100,Vencimentos e Vant. Fixas Pessoal Civil,400000.0
048,201500,20,20  ,31901300,Obrigacoes Patronais,23100.0
048,201500,20,20  ,33901400,Diarias - Civil,6600.0
048,201500,20,20  ,33903000,Material de Consumo,66000.0
048,201500,20,20  ,33903600,Outros Serv. de Terceiros Pessoa Fisica,55000.0
048,201500,20,20  ,33903900,Outros Serv. de Terc. Pessoa Juridica,99000.0
