codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_elemento_despesa,tipo_fonte,codigo_fonte,valor_atual_categoria_economica,valor_orcado_categoria_economica
048,201900,01,01  ,01,031,0001,2,001,0000,31900300,1,001000000,0,130000
048,201900,02,02  ,04,122,0037,2,002,0000,31900400,1,001000000,0,5000
048,201900,04,04  ,04,122,0037,2,004,0000,31900400,1,001000000,0,10000
048,201900,07,07  ,04,122,0037,2,125,0000,31900400,1,001000000,0,5000
048,201900,08,08  ,12,361,0231,1,005,0000,44905100,1,001000000,0,300000
048,201900,09,09  ,04,122,0037,2,124,0000,31900400,1,211000000,0,8000
048,201900,10,10  ,04,122,0037,2,053,0000,31900400,1,001000000,0,50000
048,201900,11,11  ,20,122,0037,2,056,0000,31900400,1,001000000,0,10000
048,201900,15,15  ,12,361,0231,1,030,0000,44905100,1,112000000,0,120000
048,201900,16,16  ,04,122,0037,2,061,0000,31900400,1,001000000,0,10000
048,201900,20,20  ,18,122,0037,2,066,0000,31900400,1,001000000,0,50000
048,201900,21,21  ,08,243,0131,2,068,0000,33504100,1,001000000,0,30000
048,201900,22,22  ,08,244,0137,2,071,0000,31900400,1,001000000,0,10000
048,201900,23,23  ,04,122,0037,2,072,0000,31900400,1,001000000,0,25000
048,201900,24,24  ,08,244,0137,2,073,0000,31900400,1,001000000,0,10000
048,201900,26,26  ,23,691,0491,2,074,0000,31900400,1,001000000,0,10000
048,201900,27,27  ,18,541,0401,2,075,0000,33903000,1,990000002,0,20000
048,201900,28,28  ,08,122,0037,2,076,0000,31900400,1,001000000,0,450000
048,201900,29,29  ,04,182,0107,2,079,0000,31900400,1,001000000,0,10000
048,201900,30,30  ,04,124,0042,2,080,0000,31900400,1,001000000,0,10000
048,201900,31,31  ,04,122,0037,2,081,0000,31900400,1,001000000,0,50000
048,201900,32,32  ,13,392,0307,1,034,0000,44905100,1,001000000,0,20000
048,201900,33,33  ,27,122,0037,2,086,0000,31900400,1,001000000,0,10000
048,201900,34,34  ,04,123,0037,2,087,0000,31900400,1,001000000,0,50000
048,201900,35,35  ,04,122,0037,2,122,0000,31900400,1,001000000,0,50000
048,201900,36,36  ,12,122,0037,1,032,0000,44905100,1,111000000,0,50000
048,201900,37,37  ,10,122,0037,2,036,0000,31900400,1,211000000,0,50000
048,201900,38,38  ,04,122,0037,2,127,0000,31900400,1,001000000,0,4000
048,201900,39,39  ,04,182,0107,2,128,0000,31900400,1,001000000,0,10000
048,201900,40,40  ,04,122,0037,2,129,0000,31900400,1,001000000,0,20000
