codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_tipo_orcamento,nome_projeto_atividade,descricao_projeto_atividade,valor_total_fixado_projeto_atividade
048,201500,01,01  ,01,031,0001,2,001,0000,F,Manutencao do Poder Legislativo Municipal,MANUTENCAO DO PODER LEGISLATIVO MUNICIPAL,3673000.0
048,201500,02,02  ,04,122,0037,2,002,0000,F,Custeio das Atividades do Gabinete do Prefeito e do Vice Prefeito,CUSTEIO DAS ATIVIDADES DO GABINETE DO PREFEITO e do Vice Prefeito,1644365.0
048,201500,02,02  ,04,182,0107,2,003,0000,F,Manutencao da Coordenacao Municipal da Defesa Civil,Manutencao da Coordenacao Municipal da Defesa Civil,130000.0
048,201500,04,04  ,04,122,0037,2,004,0000,F,Manutencao da Procuradoria Municipal,MANUTENCAO DA PROCURADORIA MUNICIPAL,751000.0
048,201500,04,04  ,04,124,0042,2,005,0000,F,Manutencao das Atividades Gerais da Controladoria do Municipio,Manutencao das Atividades Gerais da Controladoria do Municipio,243000.0
048,201500,06,06  ,04,122,0037,2,006,0000,F,Custeio das Acoes do Departamento de Gestao Administrativa,Custeio da gestao administrativa,1747000.0
048,201500,06,06  ,04,123,0037,2,007,0000,F,Custeio Administrativo da Secretaria,CUSTEIO ADMINISTRATIVO DA SECRETARIA,3610000.0
048,201500,06,06  ,28,843,0962,2,008,0000,F,Amortizacao da Divida Interna,AMORTIZACAO DA DIVIDA INTERNA,520000.0
048,201500,06,06  ,99,999,0999,9,001,0000,F,Reserva de Contingencia,RESERVA DE CONTINGENCIA,1275000.0
048,201500,07,07  ,08,241,0121,2,009,0000,S,Protecao Social Basica/Assistencia ao Idoso/Projeto Terceira Idade Cidada,Assistencia ao idoso.,29858.0
048,201500,07,07  ,08,241,0121,2,010,0000,S,Servico de Conviv e Fortalec.de Vinculo ao Idoso-SCFV/Piso Basico Variavel,Fortalecimento de vinculo ao idoso - SCFV/Piso Basico Variavel,66950.0
048,201500,07,07  ,08,242,0126,2,011,0000,S,Assistencia ao Portador de Deficiencia Projeto Investimento Cidadao,Assistencia ao portador de deficiecia,12004.0
048,201500,07,07  ,08,243,0131,2,012,0000,S,"Acolhimento para Criancas,Adolesc.ate 21 anos Piso Alta Complex. Pac I","Servico de acolhimento para criancas, adolescentes ate 21 anos, por meio de Piso de Alta Complexidade I - Pac I.",240000.0
048,201500,07,07  ,08,243,0131,2,013,0000,S,Serv.Convivemcia e Fortalec.de Vinculo p/Crianca/Adolesc de 15/17 anos SCFV/PBV,Fortalecimento de vinculo para a crianca e adolescentes de 15 a 17 anos SCFV/PBV,48950.0
048,201500,07,07  ,08,243,0131,2,014,0000,S,Fortalec.de Vinculo p/Criancas e Adolesc de 06/15 anos - SCFV/PBV,Fortalecimento de vinculo para criancas eadolescentes de 06/15 anos SCFV/PBV,48950.0
048,201500,07,07  ,08,243,0131,2,015,0000,S,Serv.Convivencia e Fortalec.de Vinculos p/Criancas de ate 06 anos - SCFV/PBV,Fortalecimento de vinculo para criacas ate 06 anos - SCFV/PBV,48050.0
048,201500,07,07  ,08,243,0131,2,016,0000,S,Realizacao das acoes estrstegicas de Erradic.do Trabalho Infantil-PETI/SUAS,"Execucao do programa de erradicacao do trabalho infantil PETI, atraves do SUAS.",79200.0
048,201500,07,07  ,08,243,0132,2,017,0000,S,Servico de Convivencia e Fortalecimento de Vinculo - SCFV/PBV,protecao social basica.,48950.0
048,201500,07,07  ,08,244,0126,2,018,0000,S,Implantacao do Conselho Munic. dos Direi da Pessoa com Deficienci.,Implantacao de conselho CMDPD.,20000.0
048,201500,07,07  ,08,244,0137,1,001,0000,S,Construcao de Centro de Ref. Assist. Social - Cras,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,110000.0
048,201500,07,07  ,08,244,0137,1,002,0000,S,Construcao do Centro de Referencia Espec ializado da Assistencia Social - CREAS,"Contrucao do Centro de Referencia Especializado da Assistencia Social - CREAS, no Municipio de Crateus.",263000.0
