codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_rubrica,tipo_fonte,codigo_fonte,descricao_rubrica,valor_previsto
048,202400,09,09  ,171350510100000,1,605000000,Transferências de Recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde  Piso da Enfermagem,0
048,202400,34,34  ,111451110100000,1,500100200,ISS - Simples Nacional,0
048,202400,34,34  ,112201010000000,1,500000000,Taxas pela Presta  o de Servi os em Geral - Principal,0
048,202400,34,34  ,132101010100000,1,501000000,Remunera  o de Dep sitos Banc rios - VINCULADOS - ROYALTIES,0
048,202400,34,34  ,132101010300000,1,501000000,Remunera  o de Dep sitos Banc rios - VINCULADOS - FUNDO DE SAUDE,0
048,202400,34,34  ,132101010800000,1,501000000,Remunera  o de Dep sitos Banc rios - VINCULADOS - FUNDO NACIONAL DE ASSISTENCIA SOCIAL FNAS,0
048,202400,34,34  ,132101010800000,1,571000000,Remunera  o de Dep sitos Banc rios - VINCULADOS - FUNDO NACIONAL DE ASSISTENCIA SOCIAL FNAS,0
048,202400,34,34  ,171151110000000,1,500100100,Cota-Parte do Fundo de Participa  o dos Munic pios - Cota Mensal - Principal,0
048,202400,34,34  ,171151110000000,1,500100200,Cota-Parte do Fundo de Participa  o dos Munic pios - Cota Mensal - Principal,0
048,202400,34,34  ,171152010000000,1,500100100,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,0
048,202400,34,34  ,171152010000000,1,500100200,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,0
048,202400,34,34  ,171550010000000,1,542000000,Transfer ncias de Recursos de Complementa  o da Uni o ao Fundeb   VAAT - Principal,0
048,202400,34,34  ,172150010000000,1,500100100,Cota-Parte do ICMS - Principal,0
048,202400,34,34  ,172151010000000,1,500100100,Cota-Parte do IPVA - Principal,0
048,202400,34,34  ,172152010000000,1,500100100,Cota-Parte do IPI - Munic pios - Principal,0
048,202400,34,34  ,172152010000000,1,500100200,Cota-Parte do IPI - Munic pios - Principal,0
048,202400,34,34  ,175150010000000,1,540000000,Transfer ncias de Recursos do FUNDEB - Principal,0
